ds,yhat,yhat_lower,yhat_upper
2018-06-21,34339.623599707855,30850.85631697575,37919.36344951747
2018-06-22,34054.75257716479,30483.78644422113,37774.42411666496
2018-06-23,31643.030453160274,28088.861686404103,35224.85644466947
2018-06-24,31004.192073799073,27436.421269524828,34924.81294243845
2018-06-25,34401.75493797761,30555.171139463633,38269.258230289575
2018-06-26,35129.4843943453,31248.59879695806,38908.77742118253
2018-06-27,35264.848079165895,31575.136033040497,38976.56675583101
2018-06-28,35230.44644592509,31650.247856713933,38708.937322129794
2018-06-29,34982.199233687534,31363.735298759373,38473.2311572726
2018-06-30,32613.306881742305,28811.426676769963,36153.40238487154
2018-07-01,32021.829611764257,28170.924155945544,35538.74876865164
2018-07-02,35469.433765694586,31738.558149272096,39163.01138261294
2018-07-03,36247.90735970797,32502.7720439825,39715.54726542604
2018-07-04,36432.66880237897,32911.48130903074,40003.110158366886
2018-07-05,36444.25410533062,32824.36689577259,39977.01328386991
2018-07-06,36236.560834353506,32536.885884610474,39837.04561545228
2018-07-07,33900.866179115415,30323.97264184628,37954.05081761448
2018-07-08,33333.46025014887,29843.94354263432,37118.416236934085
2018-07-09,36794.44264240099,33187.47058649831,40640.17164498572
2018-07-10,37574.28278577379,33805.72952542404,41373.34913417236
2018-07-11,37747.36674157656,33981.874418881875,41293.62518010878
2018-07-12,37733.514672882804,34016.98387567092,41575.87235249779
2018-07-13,37486.24635759444,33900.68703282031,41106.53871734092
2018-07-14,35096.81149029643,31290.061113554162,38507.600158740264
2018-07-15,34461.82551567692,30805.45149804166,38154.12338643339
2018-07-16,37842.05894401918,34602.7823653296,41635.39424796586
2018-07-17,38528.98086081168,34707.66865399623,42240.746872642856
2018-07-18,38598.27975611582,34858.9061007432,42171.48690802528
2018-07-19,38471.346630635635,34743.78235295854,42242.07350154251
2018-07-20,38103.498717429015,34480.14719162767,41844.57511760872
2018-07-21,35587.96174905134,32032.222483592785,39087.098150735575
2018-07-22,34823.452875802315,31193.325607795567,38497.037699782755
2018-07-23,38072.91368886471,34260.31363963437,41848.149531153635
2018-07-24,38629.995659350345,34786.82053266475,42089.44881891375
2018-07-25,38572.522768941046,34959.74709176277,42286.97733167553
2018-07-26,38323.91794063582,34753.400831927305,41926.043394908615
2018-07-27,37841.37321491776,34327.15122151495,41213.46420503325
2018-07-28,35219.783115036305,31732.065588139492,39015.17034385207
2018-07-29,34359.28468502363,30706.68097376081,38068.945599759034
2018-07-30,37523.954855824406,33970.19628360911,41484.28915329986
2018-07-31,38008.268441633736,34215.46724064331,41812.07839887617
2018-08-01,37890.542293388295,34385.68844220064,41541.08323684412
2018-08-02,37594.35270835624,33906.946373935054,41553.921515486356
2018-08-03,37076.70625651293,33566.58660029643,40710.11911178202
